FAC_NO,FAC_NAME,YEAR_QTR,BEG_DATE,END_DATE,OP_STATUS,COUNTY_NAME,HSA,HFPA,TYPE_CNTRL,TYPE_HOSP,TEACH_RURL,PHONE,ADDRESS,CITY,ZIP_CODE,CEO,LIC_BEDS,AVL_BEDS,STF_BEDS,DIS_MCAR,DIS_MCAR_MC,DIS_MCAL,DIS_MCAL_MC,DIS_CNTY,DIS_CNTY_MC,DIS_THRD,DIS_THRD_MC,DIS_INDGNT,DIS_OTH,DIS_TOT,DIS_LTC,DAY_MCAR,DAY_MCAR_MC,DAY_MCAL,DAY_MCAL_MC,DAY_CNTY,DAY_CNTY_MC,DAY_THRD,DAY_THRD_MC,DAY_INDGNT,DAY_OTH,DAY_TOT,DAY_LTC,VIS_MCAR,VIS_MCAR_MC,VIS_MCAL,VIS_MCAL_MC,VIS_CNTY,VIS_CNTY_MC,VIS_THRD,VIS_THRD_MC,VIS_INDGNT,VIS_OTH,VIS_TOT,GRIP_MCAR,GRIP_MCAR_MC,GRIP_MCAL,GRIP_MCAL_MC,GRIP_CNTY,GRIP_CNTY_MC,GRIP_THRD,GRIP_THRD_MC,GRIP_INDGNT,GRIP_OTH,GRIP_TOT,GROP_MCAR,GROP_MCAR_MC,GROP_MCAL,GROP_MCAL_MC,GROP_CNTY,GROP_CNTY_MC,GROP_THRD,GROP_THRD_MC,GROP_INDGNT,GROP_OTH,GROP_TOT,BAD_DEBT,CADJ_MCAR,CADJ_MCAR_MC,CADJ_MCAL,CADJ_MCAL_MC,DISP_855,CADJ_CNTY,CADJ_CNTY_MC,CADJ_THRD,CADJ_THRD_MC,CHAR_HB,CHAR_OTH,SUB_INDGNT,TCH_ALLOW,TCH_SUPP,DED_OTH,DED_TOT,CAP_MCAR,CAP_MCAL,CAP_CNTY,CAP_THRD,CAP_TOT,NET_MCAR,NET_MCAR_MC,NET_MCAL,NET_MCAL_MC,NET_CNTY,NET_CNTY_MC,NET_THRD,NET_THRD_MC,NET_INDGNT,NET_OTH,NET_TOT,OTH_OP_REV,TOT_OP_EXP,PHY_COMP,NONOP_REV,DIS_PIPS,DAY_PIPS,EXP_PIPS,EXP_POPS,CAP_EXP,FIX_ASSETS,DISP_TRNFR,DIS_TOT_CC,PAT_DAY_TOT_CC,TOT_OUT_VIS_CC,GROS_INPAT_REV_CC,GROS_OUTPAT_REV_CC,CONTR_ADJ_CC,OTHR_DEDUCT_CC,CAP_PREM_REV_CC,NET_PAT_REV_CC,QA_FEES,QA_SUPPL_PAY,MNGD_CARE_QA_PAY
106150788,ADVENTIST HEALTH BAKERSFIELD,20181,01/01/2018,03/31/2018,Open,Kern,09,0617,Non Profit Corp.,Comparable,,661-395-3000,2615 CHESTER AVENUE,BAKERSFIELD,93301,SHARLET BRIGGS,254 ,254 ,198 ,"1,019 ",863 ,238 ,"1,024 ",0 ,0 ,230 ,"1,109 ",0 ,71 ,"4,554 ",0 ,"4,678 ","3,613 ",839 ,"3,528 ",0 ,0 ,970 ,"3,521 ",0 ,293 ,"17,442 ",0 ,"10,736 ","4,019 ","1,350 ","12,455 ",0 ,0 ,"2,500 ","17,248 ",0 ,"2,355 ","50,663 ","83,339,314 ","71,852,844 ","18,871,588 ","56,047,922 ",0 ,0 ,"13,756,144 ","68,256,731 ",0 ,"526,184 ","312,650,727 ","40,243,353 ","31,006,242 ","4,980,337 ","44,450,265 ",0 ,0 ,"14,336,644 ","59,411,430 ",0 ,"4,166,506 ","198,594,777 ","1,936,874 ","101,722,217 ","89,551,377 ","21,397,554 ","67,689,524 ",0 ,0 ,0 ,"21,988,192 ","94,647,057 ",0 ,"1,838,844 ",0 ,0 ,0 ,"7,674,227 ","408,445,866 ",0 ,0 ,0 ,0 ,0 ,"21,359,200 ","12,842,271 ","2,381,286 ","32,696,145 ",0 ,0 ,"5,474,388 ","30,046,649 ",0 ,"(2,000,301)","102,799,638 ","1,014,547 ","98,453,101 ",0 ,"810,730 ",0 ,0 ,0 ,0 ,"619,601 ","134,342,013 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
106171049,ADVENTIST HEALTH CLEARLAKE,20181,01/01/2018,03/31/2018,Open,Lake,01,0115,Non Profit Corp.,Comparable,Teaching,707-995-5820,15630 18TH AVENUE,CLEARLAKE,95422,DAVID SANTOS,25 ,25 ,20 ,185 ,2 ,5 ,146 ,0 ,0 ,0 ,36 ,0 ,5 ,379 ,0 ,797 ,6 ,13 ,474 ,0 ,0 ,0 ,135 ,0 ,12 ,"1,437 ",0 ,"20,811 ",275 ,"6,624 ","23,197 ",0 ,0 ,"6,067 ","3,084 ",0 ,993 ,"61,051 ","8,945,794 ","72,599 ","357,672 ","5,668,685 ",0 ,0 ,0 ,"1,656,039 ",0 ,"116,687 ","16,817,476 ","18,801,602 ","671,151 ","3,306,838 ","19,124,190 ",0 ,0 ,"422,116 ","7,161,038 ",0 ,"942,839 ","50,429,774 ","(324,698)","18,831,584 ","650,963 ","2,189,728 ","15,253,167 ","(130,500)",0 ,0 ,"93,644 ","3,613,312 ",0 ,"1,766,592 ",0 ,0 ,0 ,"974,334 ","42,918,126 ",0 ,"2,715,284 ",0 ,0 ,"2,715,284 ","8,871,330 ","66,961 ","1,362,757 ","12,194,824 ",0 ,0 ,"390,088 ","4,947,382 ",0 ,"(788,934)","27,044,408 ","951,441 ","24,229,517 ",0 ,"16,328 ",0 ,0 ,0 ,0 ,"370,008 ","31,753,882 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
106040875,ADVENTIST HEALTH FEATHER RIVER,20181,01/01/2018,03/31/2018,Open,Butte,01,0220,Church,Comparable,,530-877-9361,5974 PENTZ ROAD,PARADISE,95969,MONTY KNITTEL,100 ,100 ,57 ,721 ,28 ,43 ,296 ,0 ,0 ,2 ,187 ,0 ,15 ,"1,292 ",0 ,"2,932 ",99 ,140 ,"1,008 ",0 ,0 ,6 ,556 ,0 ,65 ,"4,806 ",0 ,"43,767 ","1,358 ","7,809 ","27,321 ",0 ,0 ,839 ,"15,526 ",0 ,"1,494 ","98,114 ","83,468,036 ","3,078,200 ","2,909,419 ","26,157,446 ",0 ,0 ,"296,458 ","15,488,936 ",0 ,"1,396,908 ","132,795,403 ","103,974,858 ","4,094,730 ","7,365,771 ","56,955,711 ",0 ,0 ,"910,756 ","41,865,454 ",0 ,"3,131,677 ","218,298,957 ","6,817 ","166,699,596 ","6,144,430 ","6,790,077 ","70,521,006 ","(221,206)",0 ,0 ,"535,723 ","39,383,011 ",0 ,"2,807,424 ",0 ,0 ,0 ,"4,968,432 ","297,635,310 ",0 ,0 ,0 ,0 ,0 ,"18,901,721 ","1,006,563 ","3,344,045 ","13,031,546 ",0 ,0 ,"304,139 ","16,424,704 ",0 ,"446,332 ","53,459,050 ","5,180,886 ","56,031,120 ",0 ,"80,409 ",0 ,0 ,0 ,0 ,"1,026,533 ","54,937,558 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
106190323,ADVENTIST HEALTH GLENDALE,20181,01/01/2018,03/31/2018,Open,Los Angeles,11,0909,Church,Comparable,,818-409-8000,1509 WILSON TERRACE,GLENDALE,91206,KEVIN ROBERTS,515 ,462 ,308 ,"2,266 ",455 ,352 ,962 ,0 ,0 ,37 ,945 ,0 ,159 ,"5,176 ",0 ,"14,332 ","2,129 ","2,471 ","3,674 ",0 ,0 ,87 ,"4,017 ",0 ,673 ,"27,383 ",0 ,"15,351 ","2,096 ","1,586 ","9,854 ",0 ,0 ,"2,356 ","19,281 ",0 ,"1,715 ","52,239 ","229,128,167 ","46,590,964 ","35,132,343 ","82,131,365 ",0 ,0 ,"453,922 ","69,816,895 ",0 ,"2,584,374 ","465,838,030 ","56,117,207 ","16,236,736 ","7,255,081 ","48,170,318 ",0 ,0 ,"2,300,607 ","49,650,915 ",0 ,"21,689,250 ","201,420,114 ","1,426,529 ","241,626,538 ","46,693,331 ","35,506,839 ","112,917,257 ",0 ,0 ,0 ,"1,376,271 ","76,179,316 ",0 ,"18,865,234 ",0 ,0 ,0 ,"11,737,139 ","546,328,454 ",0 ,0 ,0 ,0 ,0 ,"39,634,776 ","15,263,565 ","6,589,711 ","16,569,385 ",0 ,0 ,"1,133,892 ","40,783,835 ",0 ,"954,526 ","120,929,690 ","5,094,174 ","120,197,505 ",0 ,"329,312 ",0 ,0 ,0 ,0 ,"5,287,062 ","206,170,126 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
106164029,ADVENTIST HEALTH HANFORD,20181,01/01/2018,03/31/2018,Open,Kings,09,0615,Church,Comparable,Teaching,559-582-9000,115 MALL DRIVE,HANFORD,93230,WAYNE FERCH,230 ,230 ,137 ,925 ,217 ,207 ,885 ,0 ,0 ,157 ,410 ,2 ,54 ,"2,857 ",0 ,"5,055 ","1,196 ",868 ,"3,037 ",0 ,0 ,470 ,"1,451 ",15 ,162 ,"12,254 ",0 ,"14,938 ","2,098 ","3,763 ","29,964 ",0 ,0 ,"4,794 ","15,543 ",10 ,"2,639 ","73,749 ","46,252,228 ","10,541,571 ","7,520,104 ","31,689,954 ",0 ,0 ,"4,158,952 ","15,803,416 ","138,349 ","1,812,129 ","117,916,703 ","34,480,327 ","6,807,414 ","9,807,465 ","73,242,133 ",0 ,0 ,"9,927,747 ","34,839,085 ","36,185 ","8,005,264 ","177,145,620 ","5,370,008 ","64,608,643 ","13,782,464 ","11,537,869 ","80,376,167 ","(1,378,254)",0 ,0 ,"8,056,974 ","23,483,037 ",0 ,"2,527,629 ",0 ,0 ,0 ,"7,868,888 ","216,233,425 ",0 ,"4,482,808 ",0 ,0 ,"4,482,808 ","14,761,494 ","2,760,395 ","8,131,898 ","29,350,602 ",0 ,0 ,"2,572,068 ","24,544,142 ","1,035 ","1,190,072 ","83,311,706 ","643,217 ","71,134,129 ",0 ,"(2,013,140)",0 ,0 ,0 ,0 ,"3,472,654 ","190,648,824 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
106234038,ADVENTIST HEALTH HOWARD MEMORIAL,20181,01/01/2018,03/31/2018,Open,Mendocino,01,0112,Non Profit Corp.,Comparable,,707-459-6801,1 MARCELA DRIVE,WILLITS,95490,JASON WELLS,25 ,25 ,25 ,227 ,20 ,24 ,89 ,0 ,0 ,9 ,63 ,0 ,5 ,437 ,0 ,"1,062 ",89 ,69 ,368 ,0 ,0 ,29 ,259 ,0 ,25 ,"1,901 ",0 ,"5,185 ",454 ,249 ,"3,914 ",0 ,0 ,325 ,"3,475 ",0 ,401 ,"14,003 ","14,228,633 ","1,275,016 ","1,069,710 ","5,166,933 ",0 ,0 ,"568,742 ","4,506,225 ",0 ,"275,975 ","27,091,234 ","7,031,949 ","704,872 ","680,885 ","6,596,066 ",0 ,0 ,"511,589 ","4,472,449 ",0 ,"635,187 ","20,632,997 ","410,961 ","13,665,242 ","1,076,798 ","1,386,405 ","9,331,431 ",0 ,0 ,0 ,"135,388 ","3,910,953 ",0 ,"752,355 ",0 ,0 ,0 ,"1,096,206 ","31,765,739 ",0 ,"1,261,838 ",0 ,0 ,"1,261,838 ","7,277,729 ","825,099 ","6,594 ","3,645,368 ",0 ,0 ,"865,855 ","4,650,356 ",0 ,"(50,671)","17,220,330 ","520,512 ","16,121,832 ",0 ,"402,667 ",0 ,0 ,0 ,0 ,"64,294 ","59,912,413 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
106390923,ADVENTIST HEALTH LODI MEMORIAL,20181,01/01/2018,03/31/2018,Open,San Joaquin,06,0505,Non Profit Corp.,Comparable,,209-334-3411,975 SOUTH FAIRMONT AVENUE,LODI,95240,DANIEL WOLCOTT,190 ,190 ,117 ,"1,175 ",227 ,179 ,608 ,0 ,0 ,52 ,376 ,1 ,24 ,"2,642 ",0 ,"4,865 ","1,000 ",757 ,"2,419 ",0 ,0 ,183 ,"1,097 ",21 ,82 ,"10,424 ",0 ,"21,506 ","3,387 ","3,978 ","28,139 ",0 ,0 ,"3,680 ","14,840 ",18 ,"1,772 ","77,320 ","121,301,596 ","22,873,531 ","16,255,095 ","53,943,872 ",0 ,0 ,"4,702,005 ","29,589,565 ","969,578 ","2,177,280 ","251,812,522 ","42,302,648 ","10,567,253 ","9,748,994 ","57,230,293 ",0 ,0 ,"5,784,197 ","35,347,069 ","74,529 ","5,381,592 ","166,436,575 ","1,738,012 ","145,239,766 ","28,985,177 ","21,090,952 ","93,028,482 ",0 ,0 ,0 ,"11,914,578 ","41,962,754 ",0 ,"2,137,865 ",0 ,0 ,0 ,"8,308,099 ","354,405,685 ",0 ,"493,096 ",0 ,0 ,"493,096 ","19,855,515 ","3,643,575 ","3,788,510 ","13,381,312 ",0 ,0 ,"1,768,439 ","21,516,356 ","23,864 ","358,937 ","64,336,508 ","979,552 ","60,330,425 ",0 ,"(4,131,923)",0 ,0 ,0 ,0 ,"434,127 ","143,561,412 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
106100797,ADVENTIST HEALTH REEDLEY,20181,01/01/2018,03/31/2018,Open,Fresno,09,0607,District,Comparable,Teaching,559-582-9000,372 WEST CYPRESS AVENUE,REEDLEY,93654,WAYNE FERCH,49 ,49 ,17 ,55 ,13 ,76 ,239 ,0 ,0 ,3 ,54 ,0 ,8 ,448 ,0 ,264 ,45 ,204 ,536 ,0 ,0 ,8 ,100 ,0 ,42 ,"1,199 ",0 ,"20,707 ","3,882 ","14,223 ","98,433 ",0 ,0 ,"1,466 ","21,085 ",307 ,"6,784 ","166,887 ","1,779,727 ","371,428 ","1,582,033 ","4,746,788 ",0 ,0 ,"59,378 ","1,021,871 ",0 ,"264,916 ","9,826,141 ","8,844,778 ","1,444,114 ","6,883,408 ","38,707,240 ",0 ,0 ,"1,044,907 ","8,653,672 ","60,734 ","3,006,298 ","68,645,151 ","1,726,020 ","4,156,105 ","1,073,230 ","3,769,683 ","12,981,280 ","(909,317)",0 ,0 ,"214,826 ","4,507,024 ",0 ,"1,202,010 ",0 ,0 ,0 ,"2,140,460 ","30,861,321 ",0 ,0 ,0 ,"542,093 ","542,093 ","3,463,395 ","494,904 ","5,981,264 ","31,345,297 ",0 ,0 ,"270,317 ","5,790,062 ","8,872 ","797,953 ","48,152,064 ","995,314 ","41,032,934 ",0 ,"166,873 ",0 ,0 ,0 ,0 ,"1,217,923 ","21,106,421 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
106560525,ADVENTIST HEALTH SIMI VALLEY,20181,01/01/2018,03/31/2018,Open,Ventura,10,0813,Church,Comparable,,805-955-6000,2975 SYCAMORE DRIVE,SIMI VALLEY,93065,JENNIFER SWENSON,144 ,85 ,85 ,683 ,222 ,42 ,214 ,0 ,0 ,29 ,487 ,0 ,51 ,"1,728 ",0 ,"3,521 ",967 ,202 ,893 ,0 ,0 ,70 ,"1,763 ",0 ,216 ,"7,632 ",0 ,"6,233 ",834 ,475 ,"3,768 ",0 ,0 ,"2,990 ","9,698 ",0 ,730 ,"24,728 ","54,627,582 ","16,971,070 ","3,898,183 ","13,013,230 ",0 ,0 ,"984,162 ","27,146,584 ",0 ,"1,972,280 ","118,613,091 ","16,161,385 ","5,209,156 ","2,879,079 ","14,585,503 ",0 ,0 ,"1,011,948 ","27,588,173 ",0 ,"2,177,783 ","69,613,027 ","143,443 ","57,688,583 ","14,432,393 ","3,937,342 ","29,133,277 ",0 ,0 ,0 ,"1,610,485 ","34,389,760 ",0 ,"1,685,564 ",0 ,0 ,0 ,"4,896,490 ","147,917,337 ",0 ,0 ,0 ,0 ,0 ,"12,484,904 ","7,544,893 ","2,797,744 ","(1,560,489)",0 ,0 ,"100,976 ","18,955,731 ",0 ,"(14,978)","40,308,781 ","372,089 ","38,871,675 ",0 ,"113,289 ",0 ,0 ,0 ,0 ,0 ,"129,259,482 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
106554011,ADVENTIST HEALTH SONORA - GREENLEY,20181,01/01/2018,03/31/2018,Open,Tuolumne,06,0513,Church,Comparable,Teaching,209-536-5000,1000 GREENLEY ROAD,SONORA,95370,MICHELLE FUENTES,152 ,152 ,120 ,650 ,50 ,45 ,175 ,0 ,0 ,33 ,173 ,0 ,9 ,"1,135 ",19 ,"2,967 ",275 ,"5,990 ",697 ,0 ,0 ,219 ,511 ,0 ,27 ,"10,686 ","5,967 ","50,804 ","2,455 ","4,729 ","17,094 ",0 ,0 ,"6,678 ","27,246 ",10 ,"2,414 ","111,430 ","49,886,697 ","4,487,473 ","5,203,783 ","14,631,938 ",0 ,0 ,"2,780,824 ","11,782,725 ",0 ,"641,620 ","89,415,060 ","85,486,742 ","4,480,258 ","3,853,680 ","23,877,255 ",0 ,0 ,"8,004,016 ","36,868,231 ","12,840 ","2,313,602 ","164,896,624 ","867,152 ","107,083,324 ","7,424,867 ","2,915,002 ","31,406,404 ",0 ,0 ,0 ,"5,209,788 ","27,454,031 ",0 ,"1,959,950 ",0 ,0 ,0 ,"5,340,882 ","189,661,400 ",0 ,0 ,0 ,0 ,0 ,"25,250,609 ","1,439,345 ","7,406,629 ","7,218,044 ",0 ,0 ,"2,832,296 ","19,859,008 ","1,609 ","642,744 ","64,650,284 ","347,290 ","60,144,588 ",0 ,"566,231 ",0 ,0 ,0 ,0 ,"7,288,063 ","87,401,085 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
